pass_a,pass_b,classification,dependency_kinds,dependency_strength,read_write_strength,enablement_strength,uncertainty_risk,wa_intersect_rb,wb_intersect_ra,wa_intersect_wb,strong_intersections,weak_intersections,intersection_token_kinds,overlap_pattern,enablement_edge_kinds,enablement_edges,enablement_evidence
early-cse,gvn,independent,,none,none,none,none,,,,,,,none,,,
early-cse,indvars,independent,,none,none,none,none,,,,,,,none,,,
early-cse,instcombine,independent,,none,none,none,none,,,,,,,none,,,
early-cse,licm,independent,,none,none,none,none,,,,,,,none,,,
early-cse,loop-rotate,independent,,none,none,none,none,,,,,,,none,,,
early-cse,loop-simplify,independent,,none,none,none,none,,,,,,,none,,,
early-cse,loop-unroll,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,loop-unroll->early-cse,kind=activation round=1 prefix=loop-unroll writes=inst:rInnerproduct:%23;inst:rInnerproduct:%24;inst:rInnerproduct:%25;inst:rInnerproduct:%26;inst:rInnerproduct:%27;inst:rInnerproduct:%28;inst:rInnerproduct:%29;inst:rInnerproduct:%30;inst:rInnerproduct:%31;inst:rInnerproduct:%32;inst:rInnerproduct:%33
early-cse,sccp,independent,,none,none,none,none,,,,,,,none,,,
early-cse,simplifycfg,independent,,none,none,none,none,,,,,,,none,,,
gvn,indvars,independent,,none,none,none,none,,,,,,,none,,,
gvn,instcombine,independent,,none,none,none,none,,,,,,,none,,,
gvn,licm,independent,,none,none,none,none,,,,,,,none,,,
gvn,loop-rotate,independent,,none,none,none,none,,,,,,,none,,,
gvn,loop-simplify,independent,,none,none,none,none,,,,,,,none,,,
gvn,loop-unroll,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,loop-unroll->gvn,kind=activation round=1 prefix=loop-unroll writes=bb:main:bb10;bb:main:bb11;bb:main:bb12;bb:main:bb2;bb:main:bb3;bb:main:bb4;bb:main:bb5;bb:main:bb6;bb:main:bb7;bb:main:bb8;bb:main:bb9;bb:rInnerproduct:bb3;inst:main:bb0:1:br;inst:main:bb0:1:call;inst:main:bb0:2:unreachable;inst:main:bb10:1:call;inst:main:bb10:2:br;inst:main:bb11:1:call;inst:main:bb11:2:unreachable;inst:main:bb12:1:ret;inst:main:bb1:1:call;inst:main:bb1:1:ret;inst:main:bb1:2:br;inst:main:bb2:1:call;inst:main:bb2:2:br;inst:main:bb3:1:call;inst:main:bb3:2:br;inst:main:bb4:1:call;inst:main:bb4:2:br;inst:main:bb5:1:call;inst:main:bb5:2:br;inst:main:bb6:1:call;inst:main:bb6:2:br;inst:main:bb7:1:call;inst:main:bb7:2:br;inst:main:bb8:1:call;inst:main:bb8:2:br;inst:main:bb9:1:call;inst:main:bb9:2:br;inst:main:entry:10:call;inst:main:entry:11:br;inst:main:entry:1:br;inst:main:entry:1:call;inst:main:entry:2:call;inst:main:entry:3:call;inst:main:entry:4:call;inst:main:entry:5:call;inst:main:entry:6:call;inst:main:entry:7:call;inst:main:entry:8:call;inst:main:entry:9:call;inst:rInnerproduct:%22;inst:rInnerproduct:%23;inst:rInnerproduct:%24;inst:rInnerproduct:%25;inst:rInnerproduct:%26;inst:rInnerproduct:%28;inst:rInnerproduct:%29;inst:rInnerproduct:%30;inst:rInnerproduct:%31;inst:rInnerproduct:%32;inst:rInnerproduct:%33;inst:rInnerproduct:bb1:2:br;inst:rInnerproduct:bb1:2:store;inst:rInnerproduct:bb1:3:br;inst:rInnerproduct:bb3:1:store;inst:rInnerproduct:bb3:2:br;loop:rInnerproduct:bb0
gvn,sccp,independent,,none,none,none,none,,,,,,,none,,,
