pass_a,pass_b,classification,dependency_kinds,dependency_strength,read_write_strength,enablement_strength,uncertainty_risk,wa_intersect_rb,wb_intersect_ra,wa_intersect_wb,strong_intersections,weak_intersections,intersection_token_kinds,overlap_pattern,enablement_edge_kinds,enablement_edges,enablement_evidence
early-cse,gvn,independent,,none,none,none,none,,,,,,,none,,,
early-cse,instcombine,independent,,none,none,none,none,,,,,,,none,,,
early-cse,licm,independent,,none,none,none,none,,,,,,,none,,,
early-cse,loop-unroll,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,loop-unroll->early-cse,kind=activation round=1 prefix=loop-unroll writes=inst:Innerproduct:%18;inst:Innerproduct:%19;inst:Innerproduct:%20;inst:Innerproduct:%21;inst:Innerproduct:%22;inst:Innerproduct:%23;inst:Innerproduct:%24;inst:Innerproduct:%25;inst:Innerproduct:%26;inst:Innerproduct:%27
early-cse,simplifycfg,independent,,none,none,none,none,,,,,,,none,,,
gvn,instcombine,independent,,none,none,none,none,,,,,,,none,,,
gvn,licm,independent,,none,none,none,none,,,,,,,none,,,
gvn,loop-unroll,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,loop-unroll->gvn,kind=activation round=1 prefix=loop-unroll writes=bb:main:bb0;inst:Innerproduct:%18;inst:Innerproduct:%19;inst:Innerproduct:%20;inst:Innerproduct:%21;inst:Innerproduct:%22;inst:Innerproduct:%23;inst:Innerproduct:%24;inst:Innerproduct:%25;inst:Innerproduct:%26;inst:Innerproduct:%27;inst:main:bb0:10:call;inst:main:bb0:11:ret;inst:main:bb0:1:call;inst:main:bb0:2:call;inst:main:bb0:3:call;inst:main:bb0:4:call;inst:main:bb0:5:call;inst:main:bb0:6:call;inst:main:bb0:7:call;inst:main:bb0:8:call;inst:main:bb0:9:call;inst:main:entry:10:call;inst:main:entry:11:ret;inst:main:entry:1:br;inst:main:entry:1:call;inst:main:entry:2:call;inst:main:entry:3:call;inst:main:entry:4:call;inst:main:entry:5:call;inst:main:entry:6:call;inst:main:entry:7:call;inst:main:entry:8:call;inst:main:entry:9:call
gvn,simplifycfg,independent,,none,none,none,none,,,,,,,none,,,
instcombine,licm,independent,,none,none,none,none,,,,,,,none,,,
instcombine,loop-unroll,dependent,read_write;enablement,strong,strong,strong,none,inst:Innerproduct:%exitcond;inst:main:%exitcond;loop:main:bb0,inst:Innerproduct:%exitcond;inst:main:%exitcond;loop:main:bb0,inst:Innerproduct:%exitcond;inst:main:%exitcond;loop:main:bb0,inst:Innerproduct:%exitcond;inst:main:%exitcond;loop:main:bb0,,inst;loop,symmetric_rewrite,expansion,instcombine->loop-unroll;loop-unroll->instcombine,kind=expansion round=1 prefix=instcombine writes=bb:main:bb1;inst:Innerproduct:%18;inst:Innerproduct:%19;inst:Innerproduct:%20;inst:Innerproduct:%21;inst:Innerproduct:%22;inst:Innerproduct:%23;inst:Innerproduct:%24;inst:Innerproduct:%25;inst:Innerproduct:%26;inst:Innerproduct:%27;inst:Innerproduct:%exitcond.not;inst:Innerproduct:%exitcond.not.1;inst:Innerproduct:%indvars.iv.next.1;inst:Innerproduct:bb0:2:br;inst:Innerproduct:bb0:2:store;inst:Innerproduct:bb0:3:br;inst:main:%2;inst:main:%3;inst:main:%exitcond.not;inst:main:bb0:10:call;inst:main:bb0:11:ret;inst:main:bb0:1:call;inst:main:bb0:2:br;inst:main:bb0:2:call;inst:main:bb0:3:call;inst:main:bb0:4:call;inst:main:bb0:5:call;inst:main:bb0:6:call;inst:main:bb0:7:call;inst:main:bb0:8:call;inst:main:bb0:9:call;inst:main:bb1:1:ret;loop:main:bb1;kind=expansion round=1 prefix=loop-unroll writes=inst:Initmatrix:%exitcond;inst:Initmatrix:%exitcond.not;inst:Initmatrix:%exitcond5;inst:Initmatrix:%exitcond5.not;inst:Innerproduct:%exitcond.1;inst:Innerproduct:%exitcond.1.not;inst:Intmm:%exitcond;inst:Intmm:%exitcond.not;inst:Intmm:%exitcond5;inst:Intmm:%exitcond5.not;loop:Initmatrix:bb0;loop:Initmatrix:bb1;loop:Initmatrix:bb2;loop:Initmatrix:bb3;loop:Innerproduct:bb0;loop:Innerproduct:bb1;loop:Intmm:bb0;loop:Intmm:bb1;loop:Intmm:bb2;loop:Intmm:bb3
instcombine,simplifycfg,independent,,none,none,none,none,,,,,,,none,,,
licm,loop-unroll,dependent,enablement,strong,none,strong,none,,,,,,,none,expansion,licm->loop-unroll;loop-unroll->licm,kind=expansion round=1 prefix=licm writes=bb:main:bb1;inst:Innerproduct:%16;inst:Innerproduct:%17;inst:Innerproduct:%18;inst:Innerproduct:%19;inst:Innerproduct:%20;inst:Innerproduct:%exitcond;inst:Innerproduct:%exitcond.1;inst:Innerproduct:%gep.1;inst:Innerproduct:%indvars.iv.next.1;inst:Innerproduct:bb0:2:br;inst:Innerproduct:bb0:2:store;inst:Innerproduct:bb0:3:br;inst:main:%2;inst:main:%3;inst:main:%exitcond;inst:main:bb0:10:call;inst:main:bb0:11:ret;inst:main:bb0:1:call;inst:main:bb0:2:br;inst:main:bb0:2:call;inst:main:bb0:3:call;inst:main:bb0:4:call;inst:main:bb0:5:call;inst:main:bb0:6:call;inst:main:bb0:7:call;inst:main:bb0:8:call;inst:main:bb0:9:call;inst:main:bb1:1:ret;loop:main:bb0;kind=expansion round=1 prefix=loop-unroll writes=inst:Initmatrix:%3;inst:Initmatrix:%4;inst:Initmatrix:%5;inst:Initmatrix:%6;inst:Initmatrix:%7;inst:Innerproduct:%10;inst:Innerproduct:%11;inst:Innerproduct:%12;inst:Innerproduct:%13;inst:Innerproduct:%14;inst:Innerproduct:%16;inst:Innerproduct:%17;inst:Innerproduct:%18;inst:Innerproduct:%19;inst:Innerproduct:%20;inst:Innerproduct:%22;inst:Innerproduct:%23;inst:Innerproduct:%24;inst:Innerproduct:%25;inst:Innerproduct:%26;inst:Innerproduct:%27;inst:Innerproduct:%6;inst:Innerproduct:%7;inst:Innerproduct:%9;inst:Innerproduct:%gep;inst:Innerproduct:%gep2;inst:Innerproduct:%invariant.gep;inst:Innerproduct:%invariant.gep1;inst:Intmm:%3;inst:Intmm:%4;inst:Intmm:%5;inst:Intmm:%6
licm,simplifycfg,independent,,none,none,none,none,,,,,,,none,,,
loop-unroll,simplifycfg,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,loop-unroll->simplifycfg,kind=activation round=1 prefix=loop-unroll writes=bb:main:bb0;inst:main:bb0:10:call;inst:main:bb0:11:ret;inst:main:bb0:1:call;inst:main:bb0:2:call;inst:main:bb0:3:call;inst:main:bb0:4:call;inst:main:bb0:5:call;inst:main:bb0:6:call;inst:main:bb0:7:call;inst:main:bb0:8:call;inst:main:bb0:9:call;inst:main:entry:10:call;inst:main:entry:11:ret;inst:main:entry:1:br;inst:main:entry:1:call;inst:main:entry:2:call;inst:main:entry:3:call;inst:main:entry:4:call;inst:main:entry:5:call;inst:main:entry:6:call;inst:main:entry:7:call;inst:main:entry:8:call;inst:main:entry:9:call
