pass_a,pass_b,classification,dependency_kinds,dependency_strength,read_write_strength,enablement_strength,uncertainty_risk,wa_intersect_rb,wb_intersect_ra,wa_intersect_wb,strong_intersections,weak_intersections,intersection_token_kinds,overlap_pattern,enablement_edge_kinds,enablement_edges,enablement_evidence
early-cse,gvn,independent,,none,none,none,none,,,,,,,none,,,
early-cse,instcombine,independent,,none,none,none,none,,,,,,,none,,,
early-cse,licm,independent,,none,none,none,none,,,,,,,none,,,
early-cse,loop-unroll,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,loop-unroll->early-cse,kind=activation round=1 prefix=loop-unroll writes=inst:rInnerproduct:%17;inst:rInnerproduct:%18;inst:rInnerproduct:%19;inst:rInnerproduct:%20;inst:rInnerproduct:%21;inst:rInnerproduct:%22;inst:rInnerproduct:%23;inst:rInnerproduct:%24;inst:rInnerproduct:%25
early-cse,simplifycfg,independent,,none,none,none,none,,,,,,,none,,,
gvn,instcombine,independent,,none,none,none,none,,,,,,,none,,,
gvn,licm,independent,,none,none,none,none,,,,,,,none,,,
gvn,loop-unroll,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,loop-unroll->gvn,kind=activation round=1 prefix=loop-unroll writes=bb:main:bb0;inst:main:bb0:10:call;inst:main:bb0:11:ret;inst:main:bb0:1:call;inst:main:bb0:2:call;inst:main:bb0:3:call;inst:main:bb0:4:call;inst:main:bb0:5:call;inst:main:bb0:6:call;inst:main:bb0:7:call;inst:main:bb0:8:call;inst:main:bb0:9:call;inst:main:entry:10:call;inst:main:entry:11:ret;inst:main:entry:1:br;inst:main:entry:1:call;inst:main:entry:2:call;inst:main:entry:3:call;inst:main:entry:4:call;inst:main:entry:5:call;inst:main:entry:6:call;inst:main:entry:7:call;inst:main:entry:8:call;inst:main:entry:9:call;inst:rInnerproduct:%17;inst:rInnerproduct:%18;inst:rInnerproduct:%19;inst:rInnerproduct:%20;inst:rInnerproduct:%21;inst:rInnerproduct:%22;inst:rInnerproduct:%23;inst:rInnerproduct:%24;inst:rInnerproduct:%25
gvn,simplifycfg,independent,,none,none,none,none,,,,,,,none,,,
instcombine,licm,independent,,none,none,none,none,,,,,,,none,,,
instcombine,loop-unroll,dependent,read_write;enablement,strong,strong,strong,none,inst:main:%exitcond;inst:rInnerproduct:%exitcond;loop:main:bb0,inst:main:%exitcond;inst:rInnerproduct:%exitcond;loop:main:bb0,inst:main:%exitcond;inst:rInnerproduct:%exitcond;loop:main:bb0,inst:main:%exitcond;inst:rInnerproduct:%exitcond;loop:main:bb0,,inst;loop,symmetric_rewrite,expansion,instcombine->loop-unroll;loop-unroll->instcombine,kind=expansion round=1 prefix=instcombine writes=bb:main:bb1;inst:main:%2;inst:main:%3;inst:main:%exitcond.not;inst:main:bb0:10:call;inst:main:bb0:11:ret;inst:main:bb0:1:call;inst:main:bb0:2:br;inst:main:bb0:2:call;inst:main:bb0:3:call;inst:main:bb0:4:call;inst:main:bb0:5:call;inst:main:bb0:6:call;inst:main:bb0:7:call;inst:main:bb0:8:call;inst:main:bb0:9:call;inst:main:bb1:1:ret;inst:rInnerproduct:%17;inst:rInnerproduct:%18;inst:rInnerproduct:%19;inst:rInnerproduct:%20;inst:rInnerproduct:%21;inst:rInnerproduct:%22;inst:rInnerproduct:%23;inst:rInnerproduct:%24;inst:rInnerproduct:%25;inst:rInnerproduct:%exitcond.not;inst:rInnerproduct:%exitcond.not.1;inst:rInnerproduct:%indvars.iv.next.1;inst:rInnerproduct:bb0:2:br;inst:rInnerproduct:bb0:2:store;inst:rInnerproduct:bb0:3:br;loop:main:bb1;kind=expansion round=1 prefix=loop-unroll writes=inst:Mm:%exitcond;inst:Mm:%exitcond.not;inst:Mm:%exitcond5;inst:Mm:%exitcond5.not;inst:rInitmatrix:%exitcond;inst:rInitmatrix:%exitcond.not;inst:rInitmatrix:%exitcond5;inst:rInitmatrix:%exitcond5.not;inst:rInnerproduct:%exitcond.1;inst:rInnerproduct:%exitcond.1.not;loop:Mm:bb0;loop:Mm:bb1;loop:Mm:bb2;loop:Mm:bb3;loop:rInitmatrix:bb0;loop:rInitmatrix:bb1;loop:rInitmatrix:bb2;loop:rInitmatrix:bb3;loop:rInnerproduct:bb0;loop:rInnerproduct:bb1
instcombine,simplifycfg,independent,,none,none,none,none,,,,,,,none,,,
licm,loop-unroll,dependent,enablement,strong,none,strong,none,,,,,,,none,expansion,licm->loop-unroll;loop-unroll->licm,kind=expansion round=1 prefix=licm writes=bb:main:bb1;inst:main:%2;inst:main:%3;inst:main:%exitcond;inst:main:bb0:10:call;inst:main:bb0:11:ret;inst:main:bb0:1:call;inst:main:bb0:2:br;inst:main:bb0:2:call;inst:main:bb0:3:call;inst:main:bb0:4:call;inst:main:bb0:5:call;inst:main:bb0:6:call;inst:main:bb0:7:call;inst:main:bb0:8:call;inst:main:bb0:9:call;inst:main:bb1:1:ret;inst:rInnerproduct:%15;inst:rInnerproduct:%16;inst:rInnerproduct:%17;inst:rInnerproduct:%18;inst:rInnerproduct:%exitcond;inst:rInnerproduct:%exitcond.1;inst:rInnerproduct:%gep.1;inst:rInnerproduct:%indvars.iv.next.1;inst:rInnerproduct:bb0:2:br;inst:rInnerproduct:bb0:2:store;inst:rInnerproduct:bb0:3:br;loop:main:bb0;kind=expansion round=1 prefix=loop-unroll writes=inst:Mm:%3;inst:Mm:%4;inst:Mm:%5;inst:Mm:%6;inst:rInitmatrix:%3;inst:rInitmatrix:%4;inst:rInitmatrix:%5;inst:rInitmatrix:%6;inst:rInitmatrix:%7;inst:rInitmatrix:%8;inst:rInitmatrix:%9;inst:rInnerproduct:%10;inst:rInnerproduct:%11;inst:rInnerproduct:%12;inst:rInnerproduct:%13;inst:rInnerproduct:%14;inst:rInnerproduct:%16;inst:rInnerproduct:%17;inst:rInnerproduct:%18;inst:rInnerproduct:%19;inst:rInnerproduct:%21;inst:rInnerproduct:%22;inst:rInnerproduct:%23;inst:rInnerproduct:%24;inst:rInnerproduct:%25;inst:rInnerproduct:%6;inst:rInnerproduct:%7;inst:rInnerproduct:%9;inst:rInnerproduct:%gep;inst:rInnerproduct:%gep2;inst:rInnerproduct:%invariant.gep;inst:rInnerproduct:%invariant.gep1
licm,simplifycfg,independent,,none,none,none,none,,,,,,,none,,,
loop-unroll,simplifycfg,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,loop-unroll->simplifycfg,kind=activation round=1 prefix=loop-unroll writes=bb:main:bb0;inst:main:bb0:10:call;inst:main:bb0:11:ret;inst:main:bb0:1:call;inst:main:bb0:2:call;inst:main:bb0:3:call;inst:main:bb0:4:call;inst:main:bb0:5:call;inst:main:bb0:6:call;inst:main:bb0:7:call;inst:main:bb0:8:call;inst:main:bb0:9:call;inst:main:entry:10:call;inst:main:entry:11:ret;inst:main:entry:1:br;inst:main:entry:1:call;inst:main:entry:2:call;inst:main:entry:3:call;inst:main:entry:4:call;inst:main:entry:5:call;inst:main:entry:6:call;inst:main:entry:7:call;inst:main:entry:8:call;inst:main:entry:9:call
