pass_a,pass_b,classification,dependency_kinds,dependency_strength,read_write_strength,enablement_strength,uncertainty_risk,wa_intersect_rb,wb_intersect_ra,wa_intersect_wb,strong_intersections,weak_intersections,intersection_token_kinds,overlap_pattern,enablement_edge_kinds,enablement_edges,enablement_evidence
early-cse,gvn,independent,,none,none,none,none,,,,,,,none,,,
early-cse,indvars,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,indvars->early-cse,kind=activation round=1 prefix=indvars writes=inst:Proc0:%.lcssa
early-cse,instcombine,independent,,none,none,none,none,,,,,,,none,,,
early-cse,licm,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,licm->early-cse,kind=activation round=1 prefix=licm writes=inst:Proc0:%.lcssa;inst:Proc8:%21;inst:Proc8:%22;inst:Proc8:%23;inst:Proc8:%24;inst:Proc8:%25;inst:Proc8:%26;inst:Proc8:%27;inst:Proc8:%28
early-cse,loop-rotate,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,loop-rotate->early-cse,kind=activation round=1 prefix=loop-rotate writes=inst:Proc0:%split
early-cse,loop-unroll,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,loop-unroll->early-cse,kind=activation round=1 prefix=loop-unroll writes=inst:Proc0:%.lcssa
early-cse,sccp,independent,,none,none,none,none,,,,,,,none,,,
early-cse,simplifycfg,independent,,none,none,none,none,,,,,,,none,,,
gvn,indvars,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,indvars->gvn,kind=activation round=1 prefix=indvars writes=inst:Proc0:%.lcssa
gvn,instcombine,independent,,none,none,none,none,,,,,,,none,,,
gvn,licm,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,licm->gvn,kind=activation round=1 prefix=licm writes=inst:Proc0:%.lcssa;inst:Proc8:%21;inst:Proc8:%22;inst:Proc8:%23;inst:Proc8:%24;inst:Proc8:%25;inst:Proc8:%26;inst:Proc8:%27;inst:Proc8:%28
gvn,loop-rotate,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,loop-rotate->gvn,kind=activation round=1 prefix=loop-rotate writes=bb:Proc0:._crit_edge7;inst:Proc0:%split;inst:Proc0:._crit_edge7:1:br;loop:Proc0:._crit_edge7;loop:Proc0:bb0
gvn,loop-unroll,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,loop-unroll->gvn,kind=activation round=1 prefix=loop-unroll writes=bb:Proc0:bb13;inst:Proc0:%.lcssa;inst:Proc0:%10;inst:Proc0:%12;inst:Proc0:%13;inst:Proc0:%14;inst:Proc0:%15;inst:Proc0:%16;inst:Proc0:%17;inst:Proc0:%18;inst:Proc0:%20;inst:Proc0:%21;inst:Proc0:%22;inst:Proc0:%23;inst:Proc0:%24;inst:Proc0:%25;inst:Proc0:%26;inst:Proc0:%27;inst:Proc0:%28;inst:Proc0:%29;inst:Proc0:%30;inst:Proc0:%31;inst:Proc0:%32;inst:Proc0:%33;inst:Proc0:%34;inst:Proc0:%35;inst:Proc0:%36;inst:Proc0:%37;inst:Proc0:%38;inst:Proc0:%39;inst:Proc0:%40;inst:Proc0:%41;inst:Proc0:%42;inst:Proc0:%43;inst:Proc0:%44;inst:Proc0:%45;inst:Proc0:%46;inst:Proc0:%47;inst:Proc0:%48;inst:Proc0:%49;inst:Proc0:%50;inst:Proc0:%51;inst:Proc0:%52;inst:Proc0:%53;inst:Proc0:%9;inst:Proc0:bb0:1:br;inst:Proc0:bb0:1:unreachable;inst:Proc0:bb10:1:br;inst:Proc0:bb10:1:store;inst:Proc0:bb10:2:br;inst:Proc0:bb11:1:br;inst:Proc0:bb12:1:br;inst:Proc0:bb13:1:br;inst:Proc0:bb1:10:br;inst:Proc0:bb1:1:store;inst:Proc0:bb1:1:unreachable;inst:Proc0:bb1:2:store;inst:Proc0:bb1:3:store;inst:Proc0:bb1:4:store;inst:Proc0:bb1:5:store;inst:Proc0:bb1:6:store;inst:Proc0:bb1:7:call;inst:Proc0:bb1:8:call;inst:Proc0:bb1:9:store;inst:Proc0:bb2:10:br;inst:Proc0:bb2:1:br;inst:Proc0:bb2:1:store;inst:Proc0:bb2:2:store;inst:Proc0:bb2:3:store;inst:Proc0:bb2:4:store;inst:Proc0:bb2:5:store;inst:Proc0:bb2:6:store;inst:Proc0:bb2:7:call;inst:Proc0:bb2:8:call;inst:Proc0:bb2:9:store;inst:Proc0:bb3:1:br;inst:Proc0:bb3:1:ret;inst:Proc0:bb4:1:ret;inst:Proc0:bb4:1:store;inst:Proc0:bb4:2:call;inst:Proc0:bb4:3:store;inst:Proc0:bb4:4:store;inst:Proc0:bb4:5:br;inst:Proc0:bb5:1:br;inst:Proc0:bb5:1:store;inst:Proc0:bb5:2:call;inst:Proc0:bb5:3:store;inst:Proc0:bb5:4:store;inst:Proc0:bb5:5:br;inst:Proc0:bb6:1:br;inst:Proc0:bb6:1:store;inst:Proc0:bb6:2:store;inst:Proc0:bb6:3:br;inst:Proc0:bb7:1:br;inst:Proc0:bb7:1:store;inst:Proc0:bb7:2:store;inst:Proc0:bb7:3:br;inst:Proc0:bb8:1:br;inst:Proc0:bb9:1:br;inst:Proc0:bb9:1:store;inst:Proc0:bb9:2:br;inst:Proc0:entry:1:br;loop:Proc0:bb2;loop:Proc0:bb3;loop:Proc0:bb5;loop:Proc0:bb6;loop:Proc0:bb8;loop:Proc0:bb9
